Date,Boston Celtics,Miami Heat,Chicago Bulls,Orlando Magic,Los Angeles Clippers,Toronto Raptors,New Jersey Nets,Houston Rockets,Detroit Pistons,Milwaukee Bucks,Oklahoma City Thunder,Denver Nuggets,Memphis Grizzlies,New Orleans Hornets,Philadelphia 76ers,Los Angeles Lakers,Atlanta Hawks,Minnesota Timberwolves,Sacramento Kings,Utah Jazz,Indiana Pacers,Washington Wizards,Cleveland Cavaliers,New York Knicks,San Antonio Spurs,Dallas Mavericks,Phoenix Suns,Charlotte Bobcats,Portland Trail Blazers,Golden State Warriors
2012-03-12,1525.6883706795018,1722.2502629512894,1711.5289530673008,1567.679316484327,1537.519324077831,1419.151650741129,1351.9803867759622,1402.7559320276705,1470.255980166978,1441.2461352408257,1686.2876387296592,1560.379194448879,1622.6119553025014,1376.8559875449405,1639.669262312467,1583.3034735683789,1507.0432415083128,1533.8137233997968,1394.3264164966254,1445.1090011949354,1500.509415604442,1316.2231409552617,1459.4601556593366,1454.9345650600828,1583.4732453333324,1456.9322920523127,1548.6434051413862,1204.4287401364586,1508.5213006540544,1467.417532684022
2012-03-13,1525.6883706795018,1722.2502629512894,1711.5289530673008,1567.679316484327,1526.226490473779,1419.151650741129,1345.218528800879,1402.7559320276705,1470.255980166978,1448.0079932159088,1686.2876387296592,1554.7947081089828,1628.1964416423975,1376.8559875449405,1639.669262312467,1583.3034735683789,1513.5753563522317,1533.8137233997968,1387.7943016527065,1445.1090011949354,1500.509415604442,1316.2231409552617,1459.4601556593366,1454.9345650600828,1583.4732453333324,1456.9322920523127,1548.6434051413862,1204.4287401364586,1508.5213006540544,1478.710366288074
2012-03-14,1538.6953902987357,1690.6971823855695,1718.7523923335311,1599.232397050047,1513.219470854545,1433.5340456029546,1345.218528800879,1402.7559320276705,1429.9982037599327,1448.0079932159088,1686.2876387296592,1554.7947081089828,1628.1964416423975,1364.4899046978628,1639.669262312467,1583.3034735683789,1513.5753563522317,1541.7657837186364,1387.7943016527065,1485.3667776019806,1542.2346401788827,1303.098148183197,1445.077760797511,1447.7111257938525,1596.598238105397,1456.9322920523127,1540.6913448225466,1216.7948229835363,1466.7960760796136,1478.710366288074
2012-03-15,1538.6953902987357,1690.6971823855695,1718.7523923335311,1599.232397050047,1513.219470854545,1388.2711974474498,1390.4813769563839,1416.8171945995412,1429.9982037599327,1448.0079932159088,1672.2263761577885,1564.699030274001,1616.8363793736687,1364.4899046978628,1586.9944383274217,1594.6635358371077,1503.6710341872135,1541.7657837186364,1370.6940784806043,1485.3667776019806,1594.909464163928,1287.3032788510618,1445.077760797511,1530.096253214917,1596.598238105397,1472.727161384448,1540.6913448225466,1216.7948229835363,1384.4109486585492,1495.8105894601763
2012-03-16,1543.989562205644,1674.5358508655713,1734.9137238535293,1568.3513397106562,1548.0098467371201,1388.2711974474498,1390.4813769563839,1438.6514469297315,1441.7872906221864,1476.6387933934457,1672.2263761577885,1564.699030274001,1616.8363793736687,1361.3081648034251,1586.9944383274217,1597.8452757315454,1468.8806583046385,1541.7657837186364,1358.9049916183506,1462.5957058447013,1594.909464163928,1287.3032788510618,1416.446960619974,1530.096253214917,1627.4792954447878,1472.727161384448,1563.462416579826,1194.960570653346,1384.4109486585492,1490.516417553268
2012-03-17,1543.989562205644,1681.356227888182,1734.9137238535293,1588.9847365808519,1540.142730626751,1388.2711974474498,1369.8479800861883,1438.6514469297315,1441.7872906221864,1476.6387933934457,1681.9961815379484,1554.9292248938411,1616.8363793736687,1342.4943848644327,1580.174061304811,1597.8452757315454,1488.9969876173618,1515.1488245230894,1358.9049916183506,1489.2126650402483,1550.1922911886502,1286.0007294773309,1416.446960619974,1574.8134261901948,1627.4792954447878,1479.2428201520465,1571.329532690195,1188.4449118857474,1384.4109486585492,1490.516417553268
2012-03-18,1460.770096313235,1681.356227888182,1690.3632526282158,1588.9847365808519,1552.722168739597,1378.0703481127002,1369.8479800861883,1426.0720088168855,1425.5526613234003,1501.44289314216,1665.657113680864,1554.9292248938411,1597.7461799715381,1342.4943848644327,1580.174061304811,1612.8278222783083,1488.9969876173618,1500.1662779763265,1442.1244575107596,1489.2126650402483,1534.8489435293516,1286.0007294773309,1416.446960619974,1590.1567738494934,1643.818363301872,1479.2428201520465,1587.5641619889811,1217.7359606226275,1428.9614198838626,1465.7123178045535
2012-03-19,1443.581415920514,1702.6971366551322,1709.1073602361894,1567.6438278139017,1564.1357041677259,1378.0703481127002,1356.2236283766729,1426.0720088168855,1414.1391258952715,1501.44289314216,1665.657113680864,1572.117905286562,1603.2376667287895,1356.1187365739481,1561.4299536968374,1612.8278222783083,1502.3516865266909,1454.271258476478,1488.0194770106082,1511.018693935003,1534.8489435293516,1280.5092427200796,1403.092261710645,1590.1567738494934,1608.7739023642414,1514.2872810896772,1587.5641619889811,1217.7359606226275,1428.9614198838626,1443.9062889097988
2012-03-20,1453.1271271745156,1702.6971366551322,1709.1073602361894,1567.6438278139017,1564.1357041677259,1378.0703481127002,1348.6568693335894,1406.8066576648118,1414.1391258952715,1501.44289314216,1681.515180018689,1572.117905286562,1603.2376667287895,1356.1187365739481,1565.5135475602854,1600.0947941662942,1492.8059752726892,1454.271258476478,1488.0194770106082,1523.7517220470172,1534.8489435293516,1280.5092427200796,1410.6590207537286,1590.1567738494934,1608.7739023642414,1514.2872810896772,1606.8295131410548,1213.6523667591796,1413.1033535460376,1443.9062889097988
2012-03-21,1453.1271271745156,1715.5387630234998,1722.288863868518,1554.462324181573,1527.0770721365118,1358.1046039862797,1348.6568693335894,1406.8066576648118,1414.1391258952715,1501.44289314216,1681.515180018689,1547.2017800160504,1603.2376667287895,1356.1187365739481,1565.5135475602854,1600.0947941662942,1492.8059752726892,1462.3212068447758,1488.0194770106082,1523.7517220470172,1571.9075755605656,1280.5092427200796,1410.6590207537286,1610.122517975914,1608.7739023642414,1539.2034063601889,1593.9878867726873,1213.6523667591796,1413.1033535460376,1435.856340541501
